name,rent,area,x,y,rent/area
心圆西苑,4628 ,82.6 ,121.6860342,31.17420262,56
百溪公寓,5313 ,34.5 ,121.4770593,31.20272859,154
聚缘中庭,1650 ,78.6 ,121.5419868,31.0428265,21
南新三村,3333 ,46.3 ,121.5386091,31.17217707,72
崧泽华城青湖苑,3190 ,96.7 ,121.1436374,31.146841,33
新华嘉利公寓,10450 ,85.7 ,121.4145044,31.20668733,122
音苑小区,12100 ,66.9 ,121.4485933,31.21425715,181
福山小区,4396 ,24.4 ,121.5215446,31.24023773,180
汇丰凯苑,2600 ,70.3 ,121.2229793,31.38916107,37
百兴花园,7414 ,87.2 ,121.5288524,31.26171754,85
华悦家园,5467 ,45.6 ,121.4061555,31.16862821,120
梅园七街坊,5442 ,40.0 ,121.576885,31.24832938,136
施镇公寓,2585 ,78.3 ,121.752144,31.1511222,33
美丽园公寓,24530 ,177.8 ,121.4329679,31.22043313,138
银涛高尔夫别墅,30580 ,325.3 ,121.2550073,31.16479887,94
民旺苑,1430 ,39.7 ,121.4368705,30.92081301,36
大唐花园,3355 ,64.5 ,121.3960614,31.34557161,52
乾溪三村,4070 ,50.9 ,121.402031,31.31092625,80
听潮民乐苑,2766 ,92.2 ,121.5649698,31.15886215,30
和祥佳园,3260 ,98.8 ,121.5665843,31.35434294,33
聚缘北庭,1900 ,70.4 ,121.5414458,31.04594391,27
周康五村,4125 ,87.8 ,121.5690427,31.13461402,47
聚缘南庭,1983 ,68.4 ,121.5422511,31.04258368,29
云华小区,4500 ,47.9 ,121.4571797,31.20287682,94
金鹏花苑,2640 ,110.0 ,121.4611405,30.91531598,24
莲溪三村,5236 ,74.8 ,121.5587269,31.18578924,70
安业公寓,8000 ,90.9 ,121.4683373,31.26843997,88
学前公寓,5500 ,96.5 ,121.581435,31.35197292,57
果园小区,2145 ,55.0 ,121.4301541,30.98679322,39
凤城花园,12100 ,134.4 ,121.5168617,31.28181677,90
凌一小区,4605 ,50.6 ,121.5365583,31.24730678,91
海院小区,3983 ,42.4 ,121.5320199,31.24397271,94
野奴泾小区,5445 ,56.1 ,121.3660913,31.20377351,97
东方苑,18150 ,121.0 ,121.4840632,31.21345129,150
博安苑,5958 ,56.7 ,121.5447768,31.18468143,105
申泉小区,6050 ,50.0 ,121.5238695,31.25531194,121
巨杨小区,6045 ,49.5 ,121.5409836,31.23952862,122
华龙别墅,19800 ,275.0 ,121.4686406,30.93408143,72
建德小区,8800 ,40.9 ,121.4634658,31.21233618,215
上海豪园,7750 ,42.1 ,121.3678605,31.24215684,184
汇福家园吉祥里,3049 ,70.9 ,121.5904979,31.091145,43
今天花园,5427 ,106.4 ,121.3987867,31.07863115,51
银桥花苑,5500 ,67.1 ,121.5834865,31.26138819,82
白杨小区,5258 ,67.4 ,121.5549873,31.19519717,78
万航公寓,9350 ,82.0 ,121.4270833,31.2277811,114
佳安公寓,6710 ,69.9 ,121.4423462,31.19205114,96
达安城,7650 ,72.9 ,121.45638,31.23769688,105
荣和怡景园,5121 ,53.9 ,121.3850154,31.27714345,95
长岛别墅,29333 ,586.7 ,121.3503095,31.0510584,50
大二小区,3190 ,22.9 ,121.4888329,31.2755543,139
新华豪庭,10000 ,94.3 ,121.4265376,31.20512216,106
晶杰苑,5500 ,61.8 ,121.3901376,31.13419324,89
心圆东苑,4101 ,73.2 ,121.6888839,31.1758317,56
梅林小区,5280 ,55.0 ,121.5367489,31.31038864,96
